What sport do play? How long have you played that sport?,What's the best sport?,What sports do you play?
"Dance, competitively 2 years",Soccer,Dance
Volleyball (6months),Tennis,volleyball 
Cross Country - 3 Years,Tennis,"cross country, track, badminton"
Cross Country for 3 years ,Soccer,cross country and track
Skiing; 4 years,Basketball,"Skiing, Swimming"
Basketball. 3 years,Soccer,"Basketball, T&F"
Badminton. 6 years.,Tennis,Badminton
Table tennis 6 years,Soccer,"Soccer, tennis, tabl tennis, football, basketball"
"ski, 1 week ",Soccer,ski
"Wrestling, Track, Crosscountry, 2 years, 2 years, 2 years",Soccer,"Not answering this again, sucks to suck"
"Soccer:since I was 4,cross country:2 years",Soccer,Soccer and cross country 
"Badminton, 6 years",Basketball,Badminton
Soccer. For about 7 years.,Soccer,Soccer
Badminton 10 years,Basketball,badminton
snowboard 4,Tennis,none
"Swimming, 8 years in the swim team.",Soccer,Swimming 
Tennis. 1.5 years,Tennis,Tennis
I have been doing Martial Arts for 9.5 years.,Soccer,
Boxing. 2 years.,Football,"Boxing, Basketball, Swimming, Track"
i used to play taekwondo for 6 years,Basketball,i dont play any atm
,Soccer,
I do Takewondo and I have for about 7 years,Soccer,Taekwondo and Badminton
"I've been playing tennis for 3 years and counting, and used to play on my middle school varsity team.",Football,Tennis.
Don't play a sport,Tennis,
"Tennis, for 5 years",Tennis,Tennis
Sailing (6 years ish),Tennis,Sailing
Dance for 5 years,Basketball,Biking
I play table tennis. I played it for 5 years.,Tennis,Table tennis.
I play volleyball and I have played since September 2023,Tennis,Volleyball
"Volleyball, 3 years",Soccer,Volleyball
swim 7 years,Basketball,Swim
Karate - 7 years ,Basketball,"Cricket, karate"
"tennis for 4 years, dance for 2 years",Tennis,"tennis, dance"
Swimming for 3 years,Tennis,Tennis
TaeKwonDo - 8 years,Football,TaeKwonDo
"badminton and dance, 7 years both",Basketball,badminton and dance
Baseball and I've played it for 7 years.,Soccer,Baseball.
Rowing/Crew -1.5ish years,Tennis,Rowing
"Wrestling: 2yrs, Football: Quit, played for one season last year, Track: Quit, 3 years, Gymnastics: 6 years, Taekwondo: 9 years",Soccer,"Taekwondo, Wrestling, Track, Gymnastics, Football"
volleyball - 2 years,Basketball,volleyball
"Fencing, 2.5 years",Tennis,Fencing
Swimming - ~5 months,Soccer,swimming
"Soccer, 4 years",Soccer,"Soccer, football"
none and 0 years,Football,none
"Track and field, 2.5 years",Basketball,"Track n field, and a little basketball"
I don't really play sports,Basketball,none
I don't play sport. ,,Don't play one.
"Tennis and Badminton, 3 years",Soccer,badminton
Track 2 years,Soccer,soccer and volleyball
"Taekwondo, 3 years",Soccer,"taekwondo, Badminton"
"I don't play a sport now, although I did swim for around 7 years or so before I quit.",Tennis,
"Cricket, 10 years",Basketball,Cricket
Swimming - 3years,Tennis,Swiming
Basketball - 4 years,Basketball,"Basketball, Football"
football for about 4 years,Football,football
"Soccer, 6 years",Soccer,"Soccer, Chess, Track and Field, Tennis"
no sports,Basketball,none
I don’t play a sport.,Soccer,None.
Badminton for 5 years,Soccer,"Badminton, soccer"
